id,duration,start_date,start_station,end_date,end_station,bike_number,sub_type,zip_code,birth_date,gender
18,7,"2011-07-28 12:00:00",22,"2011-07-28 12:00:00",22,B00404,Registered,"'02446",1956.0,Male
19,1020,"2011-07-28 12:01:00",38,"2011-07-28 12:18:00",36,B00147,Registered,"'02118",1987.0,Female
20,1264,"2011-07-28 12:01:00",38,"2011-07-28 12:22:00",44,B00165,Registered,"'02139",1985.0,Female
21,1043,"2011-07-28 12:01:00",38,"2011-07-28 12:18:00",44,B00527,Registered,"'02351",1978.0,Male
22,969,"2011-07-28 12:01:00",22,"2011-07-28 12:17:00",44,B00487,Registered,"'02143",1971.0,Male
23,1582,"2011-07-28 12:01:00",38,"2011-07-28 12:27:00",10,B00093,Registered,"'02130",1980.0,Female
24,620,"2011-07-28 12:01:00",22,"2011-07-28 12:12:00",20,B00375,Registered,"'02474",1955.0,Female
25,7,"2011-07-28 12:02:00",22,"2011-07-28 12:02:00",22,B00275,Registered,"'02140",1971.0,Female
26,771,"2011-07-28 12:02:00",38,"2011-07-28 12:15:00",42,B00279,Registered,"'02108",1943.0,Male
27,1222,"2011-07-28 12:02:00",38,"2011-07-28 12:22:00",44,B00074,Registered,"'02143",1972.0,Female
28,4,"2011-07-28 12:02:00",22,"2011-07-28 12:02:00",22,B00137,Registered,"'01776",1949.0,Male
29,5,"2011-07-28 12:02:00",22,"2011-07-28 12:02:00",22,B00082,Registered,"'01880",1968.0,Male
30,824,"2011-07-28 12:02:00",22,"2011-07-28 12:16:00",38,B00460,Registered,"'02131",1967.0,Male
31,873,"2011-07-28 12:02:00",38,"2011-07-28 12:17:00",47,B00025,Registered,"'02115",1975.0,Female
32,1377,"2011-07-28 12:03:00",22,"2011-07-28 12:26:00",25,B00404,Registered,"'02446",1982.0,Male
33,1114,"2011-07-28 12:03:00",22,"2011-07-28 12:22:00",48,B00392,Registered,"'02144",1958.0,Male
34,16,"2011-07-28 12:03:00",22,"2011-07-28 12:04:00",22,B00198,Registered,"'02116",1976.0,Male
35,1655,"2011-07-28 12:04:00",22,"2011-07-28 12:32:00",36,B00316,Registered,"'02115",1960.0,Female
36,1953,"2011-07-28 12:05:00",22,"2011-07-28 12:37:00",31,B00069,Registered,"'02021",1951.0,Male
37,1989,"2011-07-28 12:05:00",22,"2011-07-28 12:38:00",31,B00298,Registered,"'02151",1987.0,Female
38,1015,"2011-07-28 12:06:00",22,"2011-07-28 12:23:00",36,B00543,Registered,"'02116",1981.0,Female
39,863,"2011-07-28 12:08:00",22,"2011-07-28 12:23:00",42,B00189,Registered,"'02127",1968.0,Male
40,6,"2011-07-28 12:09:00",16,"2011-07-28 12:09:00",16,B00533,Registered,"'02445",1958.0,Male
41,460,"2011-07-28 12:10:00",22,"2011-07-28 12:18:00",49,B00353,Registered,"'01880",1968.0,Male
42,724,"2011-07-28 12:11:00",22,"2011-07-28 12:23:00",40,B00442,Registered,"'02113",1973.0,Female
43,1624,"2011-07-28 12:14:00",40,"2011-07-28 12:41:00",20,B00550,Registered,"'01867",1994.0,Male
44,191,"2011-07-28 12:14:00",22,"2011-07-28 12:18:00",22,B00275,Registered,"'01876",1963.0,Female
45,1390,"2011-07-28 12:14:00",36,"2011-07-28 12:38:00",23,B00111,Registered,"'02114",1975.0,Male
46,1587,"2011-07-28 12:15:00",40,"2011-07-28 12:41:00",20,B00539,Registered,"'01867",1956.0,Male
47,1578,"2011-07-28 12:15:00",40,"2011-07-28 12:41:00",20,B00580,Registered,"'01867",1994.0,Female
48,2585,"2011-07-28 12:15:00",38,"2011-07-28 12:58:00",38,B00101,Registered,"'02492",1968.0,Male
49,899,"2011-07-28 12:16:00",22,"2011-07-28 12:31:00",49,B00082,Registered,"'01776",1949.0,Male
50,960,"2011-07-28 12:19:00",45,"2011-07-28 12:35:00",36,B00426,Registered,"'01742",1962.0,Male
51,782,"2011-07-28 12:20:00",22,"2011-07-28 12:33:00",20,B00359,Registered,"'01945",1943.0,Male
52,326,"2011-07-28 12:20:00",36,"2011-07-28 12:25:00",46,B00147,Registered,"'02118",1987.0,Female
53,376,"2011-07-28 12:23:00",45,"2011-07-28 12:29:00",10,B00454,Registered,"'02492",1975.0,Male
54,1556,"2011-07-28 12:24:00",45,"2011-07-28 12:50:00",16,B00131,Registered,"'02143",1981.0,Male
55,1681,"2011-07-28 12:25:00",5,"2011-07-28 12:53:00",23,B00231,Registered,"'02140",1967.0,Male
56,2121,"2011-07-28 12:27:00",40,"2011-07-28 13:02:00",40,B00358,Casual,"","",""
57,2702,"2011-07-28 12:25:00",22,"2011-07-28 13:10:00",14,B00058,Registered,"'01876",1963.0,Female
58,714,"2011-07-28 12:26:00",36,"2011-07-28 12:38:00",39,B00170,Registered,"'02116",1983.0,Male
59,674,"2011-07-28 12:27:00",36,"2011-07-28 12:38:00",39,B00543,Registered,"'02116",1981.0,Female
60,531,"2011-07-28 12:30:00",46,"2011-07-28 12:38:00",46,B00147,Registered,"'02118",1987.0,Female
61,1315,"2011-07-28 12:33:00",36,"2011-07-28 12:55:00",38,B00228,Casual,"","",""
62,50,"2011-07-28 12:31:00",3,"2011-07-28 12:32:00",3,B00071,Registered,"'02118",1967.0,Male
63,659,"2011-07-28 12:32:00",34,"2011-07-28 12:43:00",36,B00139,Registered,"'02143",1969.0,Male
64,15,"2011-07-28 12:32:00",23,"2011-07-28 12:32:00",23,B00062,Registered,"'97214",1983.0,Female
65,2656,"2011-07-28 12:37:00",23,"2011-07-28 13:21:00",38,B00062,Casual,"","",""
66,340,"2011-07-28 12:37:00",10,"2011-07-28 12:43:00",41,B00454,Registered,"'02492",1975.0,Male
67,427,"2011-07-28 12:39:00",42,"2011-07-28 12:46:00",36,B00279,Registered,"'01720",1966.0,Male
68,735,"2011-07-28 12:42:00",16,"2011-07-28 12:54:00",22,B00462,Registered,"'02140",1966.0,Male
69,3584,"2011-07-28 12:43:00",20,"2011-07-28 13:43:00",43,B00550,Registered,"'01867",1959.0,Female
70,2106,"2011-07-28 12:43:00",20,"2011-07-28 13:18:00",43,B00539,Registered,"'01867",1994.0,Female
71,3485,"2011-07-28 12:44:00",20,"2011-07-28 13:42:00",43,B00580,Registered,"'01867",1956.0,Male
72,955,"2011-07-28 12:45:00",42,"2011-07-28 13:01:00",10,B00189,Registered,"'02127",1968.0,Male
73,515,"2011-07-28 12:46:00",36,"2011-07-28 12:54:00",49,B00426,Registered,"'02116",1982.0,Female
74,2775,"2011-07-28 12:46:00",25,"2011-07-28 13:32:00",39,B00404,Registered,"'02446",1982.0,Male
75,2983,"2011-07-28 12:52:00",40,"2011-07-28 13:42:00",44,B00258,Casual,"","",""
76,3002,"2011-07-28 12:52:00",40,"2011-07-28 13:42:00",44,B00442,Casual,"","",""
77,515,"2011-07-28 12:56:00",36,"2011-07-28 13:05:00",34,B00279,Registered,"'02143",1969.0,Male
78,2020,"2011-07-28 12:59:00",36,"2011-07-28 13:33:00",36,B00139,Casual,"","",""
79,1385,"2011-07-28 13:01:00",36,"2011-07-28 13:24:00",38,B00316,Casual,"","",""
80,165,"2011-07-28 13:02:00",39,"2011-07-28 13:05:00",39,B00543,Registered,"'02143",1981.0,Male
81,172,"2011-07-28 13:04:00",31,"2011-07-28 13:06:00",43,B00069,Registered,"'01890",1978.0,Male
82,35,"2011-07-28 13:05:00",35,"2011-07-28 13:05:00",35,B00032,Registered,"'02118",1982.0,Male
83,586,"2011-07-28 13:05:00",39,"2011-07-28 13:15:00",36,B00170,Registered,"'02116",1983.0,Male
84,545,"2011-07-28 13:05:00",5,"2011-07-28 13:14:00",5,B00227,Registered,"'02139",1986.0,Male
85,125,"2011-07-28 13:05:00",48,"2011-07-28 13:07:00",48,B00261,Registered,"'01719",1971.0,Male
86,26,"2011-07-28 13:05:00",35,"2011-07-28 13:06:00",35,B00032,Registered,"'02118",1982.0,Male
87,541,"2011-07-28 13:06:00",39,"2011-07-28 13:15:00",36,B00543,Registered,"'02116",1981.0,Female
88,4,"2011-07-28 13:09:00",23,"2011-07-28 13:09:00",23,B00546,Registered,"'02135",1982.0,Male
89,1126,"2011-07-28 13:12:00",22,"2011-07-28 13:31:00",23,B00406,Casual,"","",""
90,3747,"2011-07-28 13:14:00",22,"2011-07-28 14:16:00",10,B00231,Registered,"'97214",1983.0,Female
91,1772,"2011-07-28 13:16:00",41,"2011-07-28 13:46:00",23,B00454,Casual,"","",""
92,300,"2011-07-28 13:15:00",36,"2011-07-28 13:20:00",42,B00170,Registered,"'01720",1966.0,Male
93,394,"2011-07-28 13:16:00",10,"2011-07-28 13:23:00",32,B00189,Registered,"'02492",1975.0,Male
94,16,"2011-07-28 13:18:00",31,"2011-07-28 13:18:00",31,B00298,Registered,"'02138",1972.0,Female
95,1472,"2011-07-28 13:18:00",16,"2011-07-28 13:43:00",38,B00131,Registered,"'02143",1981.0,Male
96,303,"2011-07-28 13:18:00",5,"2011-07-28 13:23:00",5,B00020,Registered,"'02139",1986.0,Male
97,1840,"2011-07-28 13:21:00",40,"2011-07-28 13:52:00",40,B00488,Registered,"'01760",1968.0,Male
98,817,"2011-07-28 13:21:00",43,"2011-07-28 13:35:00",43,B00539,Registered,"'01867",1994.0,Female
99,402,"2011-07-28 13:23:00",38,"2011-07-28 13:29:00",47,B00394,Registered,"'02130",1975.0,Male
100,389,"2011-07-28 13:25:00",23,"2011-07-28 13:32:00",44,B00392,Registered,"'02143",1985.0,Male
101,397,"2011-07-28 13:25:00",23,"2011-07-28 13:32:00",44,B00468,Registered,"'02143",1986.0,Female
102,953,"2011-07-28 13:28:00",46,"2011-07-28 13:43:00",45,B00147,Registered,"'02139",1986.0,Male
103,34,"2011-07-28 13:35:00",43,"2011-07-28 13:36:00",43,B00069,Registered,"'02140",1966.0,Male
104,650,"2011-07-28 13:38:00",23,"2011-07-28 13:49:00",23,B00111,Casual,"","",""
105,881,"2011-07-28 13:45:00",14,"2011-07-28 13:59:00",45,B00198,Casual,"","",""
106,862,"2011-07-28 13:45:00",14,"2011-07-28 13:59:00",45,B00058,Registered,"'01876",1963.0,Female
107,443,"2011-07-28 13:46:00",43,"2011-07-28 13:53:00",47,B00580,Registered,"'01867",1994.0,Female
108,421,"2011-07-28 13:46:00",43,"2011-07-28 13:53:00",47,B00539,Registered,"'01867",1959.0,Female
109,781,"2011-07-28 13:47:00",45,"2011-07-28 14:00:00",46,B00431,Registered,"'02139",1986.0,Male
110,416,"2011-07-28 13:47:00",43,"2011-07-28 13:54:00",47,B00550,Registered,"'01867",1956.0,Male
111,1203,"2011-07-28 13:48:00",20,"2011-07-28 14:08:00",23,B00375,Registered,"'02474",1955.0,Female
112,762,"2011-07-28 13:51:00",49,"2011-07-28 14:04:00",31,B00353,Registered,"'02474",1966.0,Male
113,487,"2011-07-28 13:55:00",5,"2011-07-28 14:03:00",5,B00042,Casual,"","",""
114,208,"2011-07-28 13:59:00",47,"2011-07-28 14:03:00",38,B00539,Registered,"'02130",1975.0,Male
115,2920,"2011-07-28 14:05:00",23,"2011-07-28 14:54:00",31,B00454,Registered,"'02151",1987.0,Female
116,1153,"2011-07-28 14:06:00",26,"2011-07-28 14:25:00",39,B00423,Casual,"","",""
